China,"80,703",52,"3,098",28,"57,333","20,272","5,264"
S. Korea,"7,313",272,50,2,130,"7,133",36
Iran,"6,566",743,194,49,"2,134","4,238",
Italy,"5,883",,233,,589,"5,061",567
Germany,"1,018",218,,,18,"1,000",9
France,949,,16,,12,921,45
Diamond Princess,696,,7,,245,444,32
Spain,613,88,17,7,30,566,9
Japan,502,41,7,1,76,419,28
USA,464,29,19,,15,430,8
Switzerland,337,69,2,1,3,332,
UK,273,64,2,,18,253,
Netherlands,265,77,3,2,,262,1
Sweden,203,42,,,1,202,
Belgium,200,31,,,1,199,1
Norway,159,3,,,1,158,
Singapore,150,12,,,90,60,9
Hong Kong,114,6,3,1,55,56,6
Austria,104,23,,,2,102,1
Malaysia,99,6,,,24,75,
Bahrain,85,,,,6,79,
Australia,80,6,3,,22,55,1
Greece,73,7,,,,73,1
Kuwait,64,3,,,1,63,3
Canada,63,3,,,8,55,1
Iceland,55,5,,,1,54,
Iraq,54,,6,2,1,47,
Thailand,50,,1,,31,18,1
Egypt,48,,,,1,47,
Taiwan,45,,1,,15,29,
UAE,45,,,,7,38,2
India,40,6,,,3,37,
San Marino,36,10,1,,,35,5
Denmark,35,8,,,1,34,
Lebanon,32,4,,,1,31,3
Czechia,31,5,,,,31,
Vietnam,30,10,,,16,14,
Portugal,28,7,,,,28,
Israel,25,,,,3,22,1
Finland,23,4,,,1,22,
Algeria,20,1,,,,20,
Brazil,20,1,,,,20,
Ireland,19,,,,,19,
Palestine,19,,,,,19,
Oman,16,,,,2,14,
Slovenia,16,4,,,,16,
Russia,15,,,,3,12,
Ecuador,14,,,,,14,1
Romania,14,1,,,4,10,
Georgia,13,,,,,13,1
Croatia,12,,,,,12,
Qatar,12,,,,,12,
Saudi Arabia,11,4,,,1,10,
Macao,10,,,,10,0,
Estonia,10,,,,,10,
Argentina,9,,1,,,8,
Azerbaijan,9,,,,,9,
Chile,8,1,,,,8,
Poland,8,2,,,,8,
Mexico,7,1,,,1,6,1
Hungary,7,2,,,,7,
Philippines,6,,1,,2,3,1
Belarus,6,,,,,6,
Indonesia,6,2,,,,6,
Pakistan,6,,,,1,5,
Peru,6,,,,,6,
Dominican Republic,5,3,,,,5,
New Zealand,5,,,,,5,
Costa Rica,5,4,,,,5,1
French Guiana,5,,,,,5,
Afghanistan,4,,,,,4,
Luxembourg,4,,,,,4,
Senegal,4,,,,1,3,
Bulgaria,4,2,,,,4,
North Macedonia,3,,,,,3,
Bangladesh,3,3,,,,3,
Bosnia and Herzegovina,3,,,,,3,
Malta,3,,,,,3,
Slovakia,3,,,,,3,
South Africa,3,1,,,,3,
Cambodia,2,,,,1,1,
Latvia,2,1,,,1,1,
Morocco,2,,,,,2,1
Cameroon,2,,,,,2,
Faeroe Islands,2,,,,,2,
Maldives,2,,,,,2,
Andorra,1,,,,,1,
Armenia,1,,,,,1,
Jordan,1,,,,,1,
Lithuania,1,,,,,1,
Monaco,1,,,,,1,
Nepal,1,,,,1,0,
Nigeria,1,,,,,1,
Sri Lanka,1,,,,1,0,
Tunisia,1,,,,,1,
Ukraine,1,,,,,1,
Bhutan,1,,,,,1,
Colombia,1,,,,,1,
Gibraltar,1,,,,,1,1
Vatican City,1,,,,,1,
Liechtenstein,1,,,,,1,
Moldova,1,,,,,1,
Paraguay,1,,,,,1,
Serbia,1,,,,,1,
Togo,1,,,,,1,
Total:,"107,937","1,887","3,665",93,"60,924","43,348","6,041"
