China,"80,739",44,"3,120",23,"58,742","18,877","5,111"
Italy,"9,172","1,797",463,97,724,"7,985",733
S. Korea,"7,478",165,53,3,166,"7,259",36
Iran,"7,161",595,237,43,"2,394","4,530",
France,"1,412",203,30,11,12,"1,370",21
Germany,"1,176",136,2,2,18,"1,156",9
Spain,"1,102",428,28,11,32,"1,042",11
Diamond Princess,696,,7,,245,444,32
USA,624,83,22,,15,587,8
Japan,530,28,9,2,101,420,33
Switzerland,374,42,2,,3,369,
UK,321,43,5,2,18,298,
Netherlands,321,56,3,,,318,1
Sweden,260,57,,,1,259,
Belgium,239,39,,,1,238,1
Norway,206,30,,,1,205,
Singapore,160,10,,,93,67,10
Austria,131,27,,,2,129,1
Malaysia,117,18,,,24,93,2
Hong Kong,115,,3,,59,53,6
Bahrain,109,24,,,22,87,
Australia,93,10,3,,22,68,1
Denmark,90,55,,,1,89,
Greece,84,11,,,,84,1
Canada,70,4,1,1,8,61,1
Iraq,65,,6,,1,58,
Kuwait,65,1,,,1,64,3
Iceland,60,2,,,1,59,
UAE,59,14,,,12,47,2
Egypt,55,,1,,1,53,
San Marino,51,14,2,1,,49,5
Thailand,50,,1,,33,16,1
Taiwan,45,,1,,15,29,
India,45,5,,,4,41,
Israel,41,2,,,4,37,1
Lebanon,41,9,,,1,40,3
Czechia,36,4,,,,36,
Portugal,35,5,,,,35,
Finland,33,8,,,1,32,
Vietnam,31,1,,,16,15,
Brazil,25,,,,,25,1
Palestine,25,6,,,,25,
Philippines,24,14,1,,2,21,1
Slovenia,23,7,,,,23,
Ireland,21,,,,,21,
Algeria,20,,,,,20,
Russia,20,3,,,3,17,
Indonesia,19,13,,,,19,
Oman,18,2,,,9,9,
Qatar,18,3,,,,18,
Poland,17,6,,,,17,2
Ecuador,15,1,,,,15,1
Georgia,15,2,,,,15,1
Romania,15,,,,5,10,
Saudi Arabia,15,4,,,1,14,
Argentina,12,,1,,,11,
Croatia,12,,,,,12,
Macao,10,,,,10,0,
Estonia,10,,,,,10,
Chile,10,,,,,10,
Azerbaijan,9,,,,,9,
Costa Rica,9,,,,,9,1
Hungary,9,2,,,,9,
Peru,9,2,,,,9,
Pakistan,8,1,,,1,7,
Slovakia,8,3,,,,8,
Mexico,7,,,,1,6,1
South Africa,7,4,,,,7,
Belarus,6,,,,,6,
Latvia,6,3,,,1,5,
Dominican Republic,5,,,,,5,
Luxembourg,5,,,,,5,
New Zealand,5,,,,,5,
Tunisia,5,3,,,,5,
French Guiana,5,,,,,5,
Afghanistan,4,,,,,4,
North Macedonia,4,1,,,,4,
Senegal,4,,,,1,3,
Bosnia and Herzegovina,4,1,,,,4,
Bulgaria,4,,,,,4,
Maldives,4,,,,,4,
Bangladesh,3,,,,,3,
Colombia,3,2,,,,3,
Malta,3,,,,,3,
Cambodia,2,,,,1,1,
Morocco,2,,,,,2,1
Nigeria,2,1,,,,2,
Albania,2,,,,,2,
Cameroon,2,,,,,2,
Cyprus,2,2,,,,2,
Faeroe Islands,2,,,,,2,
Martinique,2,,,,,2,
Saint Martin,2,,,,,2,
Serbia,2,1,,,,2,
Andorra,1,,,,,1,
Armenia,1,,,,,1,
Jordan,1,,,,,1,
Lithuania,1,,,,,1,
Monaco,1,,,,,1,
Nepal,1,,,,1,0,
Sri Lanka,1,,,,1,0,
Ukraine,1,,,,,1,
Bhutan,1,,,,,1,
Brunei,1,1,,,,1,
Channel Islands,1,1,,,,1,
Gibraltar,1,,,,1,0,
Vatican City,1,,,,,1,
Liechtenstein,1,,,,,1,
Moldova,1,,,,,1,
Paraguay,1,,,,,1,
St. Barth,1,,,,,1,
Togo,1,,,,,1,
Total:,"114,010","4,059","4,001",196,"62,832","47,177","6,042"
